time,china,asia-east,asia,europe,europe-west,europe-north,europe-east,north-america,us,us-east,us-west,singapore,ukraine,russia,canada,sweden,japan,taiwan,germany,south korea,others,total
2015-07-30,0,0,0,0,0,0,0,0,0,0,0,0.000578703703703704,0,0,0,0,0,0,0,0,0.999421296296296,6912
2015-09-07,0,0.000610260653702938,0.103640877120397,0.122784443525031,0.18277306578403,0,0.104354571783202,0.0173924286305337,0.104666942490691,0,0,0,0,0.00734381464625569,0,0,0,0,0,0,0.356433595366156,4834
2015-08-05,0,0,0.0171919770773639,0.0171919770773639,0,0,0,0,0.0171919770773639,0,0,0.000191021967526266,0,0,0.00324737344794651,0,0,0,0,0,0.944985673352436,5235
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377857547704515,0.000188928773852258,0,0,0,0,0.999433213678443,5293
2015-08-06,0,0,0.0217617930675007,0.0217617930675007,0,0,0,0,0.0217617930675007,0,0,0.00019546520719312,0,0,0.00527756059421423,0,0,0,0,0,0.929241594996091,5116
2015-08-09,0,0,0,0,0,0,0,0,0,0,0,0.00214717938707788,0,0,0.00117118875658794,0,0,0,0,0,0.996681631856334,5123
2015-08-10,0,0,0.00241040279099271,0.00241040279099271,0,0,0,0,0.00241040279099271,0,0,0.00361560418648906,0,0,0.000761179828734539,0,0,0,0,0,0.988392007611798,5255
2015-08-11,0,0,0.0357954545454546,0.0357954545454546,0,0,0,0,0.0357954545454546,0,0,0.00170454545454545,0,0,0.000757575757575758,0,0,0,0,0,0.890151515151515,5280
2015-08-12,0,0,0.0666146239916732,0.0666146239916732,0,0,0,0,0.0666146239916732,0,0,0,0,0,0.00078064012490242,0,0,0,0,0,0.799375487900078,5124
2015-08-07,0,0,0.0242821352861823,0.0242821352861823,0,0,0,0,0.0242821352861823,0,0,0,0,0,0.00173443823472731,0,0,0,0,0,0.925419155906726,5189
2015-07-31,0,0,0,0,0,0,0,0,0,0,0,0.000145708873670407,0,0,0.000874253242022439,0,0,0,0,0,0.998980037884307,6863
2015-08-08,0,0,0.00849822425164891,0.00849822425164891,0,0,0,0,0.00849822425164891,0,0,0.000190258751902588,0,0,0.00076103500761035,0,0,0,0,0,0.97355403348554,5256
2015-08-13,0,0,0.0573212258796822,0.0573212258796822,0,0,0,0,0.0573212258796822,0,0,0,0,0,0.000378357926598562,0,0,0,0,0,0.827657964434355,5286
2015-08-14,0,0,0.0880817122855339,0.0880817122855339,0,0,0,0,0.0880817122855339,0,0,0,0,0,0.000344293337923911,0,0,0,0,0,0.735410569805474,5809
2015-08-15,0,0,0.121020686238078,0.121020686238078,0,0,0,0,0.121020686238078,0,0,0,0,0,0.000929022668153103,0,0,0,0,0,0.636008918617614,5382
2015-08-16,0,0,0.110288386593921,0.110288386593921,0,0,0,0,0.110288386593921,0,0,0,0,0,0.00019485580670304,0,0,0,0,0,0.668939984411536,5132
2015-08-17,0,0,0.127610498098622,0.127610498098622,0,0,0,0,0.127610498098622,0,0,0,0,0,0,0,0,0,0,0,0.617168505704133,5347
2015-08-18,0,5.65885206143897E-06,0.137496631635678,0.137496631635678,0.00169482619240097,0,0.000967663702506063,0.000161277283751011,0.137496631635678,0,0,0,0,0,0.000404203718674212,0,0,0,0,0,0.584276475343573,4948
2015-08-19,0,8.24345146379045E-05,0.134437596302003,0.134437596302003,0.0246891371340524,0,0.0140963020030817,0.00234938366718028,0.134437596302003,0,0,0,0,0,0.000192604006163328,0,0,0,0,0,0.555277349768875,5192
2015-08-02,0,0,0,0,0,0,0,0,0,0,0,0.00335946248600224,0,0,0.000373273609555804,0.000186636804777902,0,0,0,0,0.996080627099664,5358
2015-08-20,0,0.000201789264413519,0.142229953611663,0.142229953611663,0.0604358846918489,0,0.0345059642147117,0.00575099403578529,0.142229953611663,0,0,0,0,0,0.000248508946322068,0,0,0,0,0,0.472166998011928,4024
2015-08-21,0,0.000356525157232704,0.109800838574424,0.109800838574424,0.106779284591195,0,0.0609658018867925,0.0101609669811321,0.109800838574424,0,0,0,0,0,0,0,0,0,0,0,0.492334905660377,5088
2015-08-22,0,0.00049136786188579,0.0770252324037185,0.0770252324037185,0.147164674634794,0,0.0840239043824701,0.014003984063745,0.0770252324037185,0,0,0,0,0,0,0,0,0,0,0,0.52324037184595,5271
2015-08-03,0,0,0.00214646464646465,0.00214646464646465,0,0,0,0,0.00214646464646465,0,0,0.0053030303030303,0,0,0.000378787878787879,0.000757575757575758,0,0,0,0,0.987121212121212,5280
2015-08-04,0,0,0.0107426726279185,0.0109289617486339,0,0,0,0,0.0107426726279185,0,0.00018628912071535,0.00018628912071535,0,0,0.000931445603576751,0,0,0,0,0,0.966281669150522,5368
2015-08-23,0,0.000413325354079394,0.0765343440388324,0.0765343440388324,0.123790943546778,0,0.0706786355475763,0.0117797725912627,0.0765343440388324,0,0,0,0,0,0,0,0,0,0,0,0.563734290843806,5013
2015-08-24,0,0.00036766975308642,0.0873199588477366,0.0873199588477366,0.110117091049383,0,0.0628715277777778,0.010478587962963,0.0873199588477366,0,0,0,0,0,0,0,0,0,0,0,0.55420524691358,5184
2015-08-25,0,0.000495978026289975,0.0728533124059905,0.0728533124059905,0.148545418873847,0,0.0848122424955856,0.0141353737492643,0.0728533124059905,0,0,0,0,0,0,0,0,0,0,0,0.533451049637041,5097
2015-08-26,0,0.000583649810113932,0.0650276500766207,0.0667266306882537,0.174803118129123,0,0.0998041175294823,0.0166340195882471,0.0650276500766207,0,0,0,0,0.00169898061163302,0,0,0,0,0,0,0.509694183489906,5003
