,level_0,index,Date and Time,MAX_CO2,MIN_CO2,GUESS_CO2,MAX,MIN,GUESS,intensity
0,0,0,2019-09-01,67.60067375164732,1.418195952831762,26.252633439722903,134.9475297709032,26.918120138648145,67.53314061103629,388.73704380087264
1,1,1,2019-09-02,68.74422094002874,1.442186453287316,26.69672849812271,137.5607767262256,27.439387149720854,68.6755453946341,388.73704380087287
2,2,2,2019-09-03,71.00589920440072,1.4896342490433716,27.575048300840663,142.4393536615272,28.41252182119672,70.93496424016055,388.73704380087315
3,3,3,2019-09-04,70.40128384903663,1.4769500108189502,27.34024671654409,141.5340081206928,28.23193163124257,70.33095289614049,388.73704380087287
4,4,4,2019-09-05,70.82360203822793,1.4858098329698168,27.504253434235967,142.7429889283968,28.473088254726857,70.7528491890389,388.73704380087287
5,5,5,2019-09-06,71.10099145226386,1.491629191306235,27.61197725121296,143.64713225090162,28.65343863697586,71.02996149077309,388.73704380087275
6,6,6,2019-09-07,70.46868997518007,1.4783641253534279,27.366423797674024,142.7175670199688,28.468017320961856,70.39829168349657,388.7370438008728
7,7,7,2019-09-08,72.61506292653817,1.5233929285287726,28.199964932544255,147.3947974312776,29.40098919782014,72.54252040613203,388.73704380087275
8,8,8,2019-09-09,72.41683383021764,1.5192342761584121,28.122982921656185,146.9924299840896,29.320728556505145,72.34448934087678,388.73704380087275
9,9,9,2019-09-10,73.60617139056905,1.5441854137881619,28.58486061125892,149.40655952857202,29.80227741641357,73.53263875181723,388.7370438008727
10,10,10,2019-09-11,76.77771353979168,1.6107212630725525,29.81652486638247,155.84418822142803,31.086397717515,76.70101252726441,388.7370438008727
11,11,11,2019-09-12,76.31520366009161,1.6010182586033204,29.63690975812743,154.9053809370864,30.899132879767716,76.2389646953962,388.73704380087275
12,12,12,2019-09-13,75.99244745265582,1.594247149356416,29.511567806132472,154.2502470861,30.768452668446425,75.9165309217341,388.7370438008729
13,13,13,2019-09-14,77.38631943570307,1.6234892189308336,30.052876171893345,157.07954269373758,31.332815122530853,77.3090104252778,388.73704380087275
14,14,14,2019-09-15,76.41270794388397,1.603063803018545,29.67477541950541,155.1032961295968,30.938611223226854,76.33637157231166,388.7370438008727
15,15,15,2019-09-16,78.65435635343587,1.650091392030123,30.545316654240814,159.6534169987656,31.846228431260137,78.57578057286301,388.73704380087275
16,16,16,2019-09-17,77.42331232899713,1.6242652936153241,30.067242313732287,157.1546312469072,31.34779311211457,77.34596636263448,388.73704380087287
17,17,17,2019-09-18,77.95647641383454,1.6354505541363886,30.274295890356143,158.236853159484,31.563665010687853,77.87859781601851,388.7370438008728
18,18,18,2019-09-19,78.3112034640071,1.6428923803637852,30.412053677409386,158.95688175405357,31.707289842093,78.23297049351358,388.7370438008729
