,Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh",date,Year_x,Year_y,CO2_Coef_World,month,CO2_Coef_China,China_%hashrate,rest_%hashrate,intensity,MAX,MIN,GUESS,MAX_CO2,MIN_CO2,GUESS_CO2
583,1329782400.0,2012-02-21,0.0288632311557942,0.0004343197296285,0.0084648157770196,0.2530150843116927,0.003807246749924,0.0742025751013542,2012-02-21,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2530150843116927,0.003807246749924,0.0742025751013542,0.07427677767645555,0.0015582540771284382,0.045216061374292765
584,1329868800.0,2012-02-22,0.0295592693416457,0.0004447933704714,0.0086689452102491,0.2591165550488662,0.0038990586855525,0.0759919737130436,2012-02-22,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2591165550488662,0.0038990586855525,0.0759919737130436,0.07606796568675664,0.0015958314479739156,0.046306448835087846
585,1329955200.0,2012-02-23,0.0303396503039999,0.0004565361599999,0.00889781013,0.2659573745648639,0.00400199597856,0.07799820359958,2012-02-23,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2659573745648639,0.00400199597856,0.07799820359958,0.07807620180317958,0.00163796227559118,0.047528964543695845
586,1330041600.0,2012-02-24,0.0302445708932571,0.0004551054517142,0.0088699258750535,0.2651239084502921,0.0039894543897274,0.0777537702207196,2012-02-24,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2651239084502921,0.0039894543897274,0.0777537702207196,0.0778315239909403,0.0016328291746351114,0.04738001668514267
587,1330128000.0,2012-02-25,0.0300707396722285,0.0004524897248571,0.0088189458148392,0.2636001039667556,0.0039665249280977,0.0773068790128811,2012-02-25,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2636001039667556,0.0039665249280977,0.0773068790128811,0.07738418589189398,0.001623444459270503,0.04710769917791793
588,1330214400.0,2012-02-26,0.0298450806891428,0.0004490941192857,0.0087527660545089,0.2616219773210262,0.0039367590496585,0.0767267472338252,2012-02-26,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2616219773210262,0.0039367590496585,0.0767267472338252,0.07680347398105902,0.001611261691910329,0.04675419023175077
589,1330300800.0,2012-02-27,0.0302399983405028,0.0004550366461857,0.0088685848673026,0.265083825452848,0.0039888512404639,0.0777420149467752,2012-02-27,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.265083825452848,0.0039888512404639,0.0777420149467752,0.07781975696172197,0.0016325823138822792,0.047372853494546986
590,1330387200.0,2012-02-28,0.0311144691620571,0.0004681952537142,0.0091250438329285,0.2727494366745929,0.0041041995940594,0.0799901342394518,2012-02-28,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2727494366745929,0.0041041995940594,0.0799901342394518,0.08007012437369125,0.0016797928190284877,0.04874276686716984
591,1330473600.0,2012-02-29,0.0316786372354285,0.0004766845778571,0.0092904992797767,0.2776949340057668,0.0041786170094957,0.0814405166865233,2012-02-29,2012.0,2012.0,558.95762,2.0,628.0250795728442,0.72975195,0.27024805,609.3597333048293,0.2776949340057668,0.0041786170094957,0.0814405166865233,0.08152195720320983,0.0017102508504169894,0.049626571528307344
592,1330560000.0,2012-03-01,0.0312555214882285,0.0004703177398571,0.0091664107176517,0.2739859013658116,0.0041228053075877,0.0803527563509355,2012-03-01,2012.0,2012.0,558.95762,3.0,640.2231432885668,0.670595751,0.329404249,613.4539346201044,0.2739859013658116,0.0041228053075877,0.0803527563509355,0.08043310910728643,0.0016874078833696456,0.04929271454105196
593,1330646400.0,2012-03-02,0.0310352225759999,0.00046700279,0.009101802923125,0.2720547611012159,0.00409374645714,0.0797864044241137,2012-03-02,2012.0,2012.0,558.95762,3.0,640.2231432885668,0.670595751,0.329404249,613.4539346201044,0.2720547611012159,0.00409374645714,0.0797864044241137,0.07986619082853781,0.0016755144929063875,0.04894528372316345
594,1330732800.0,2012-03-03,0.0298478514334628,0.0004491358120857,0.0087535786399089,0.2616462656657353,0.0039371245287433,0.0767338703574416,2012-03-03,2012.0,2012.0,558.95762,3.0,640.2231432885668,0.670595751,0.329404249,613.4539346201044,0.2616462656657353,0.0039371245287433,0.0767338703574416,0.07681060422779905,0.0016114112775062737,0.04707269468940155
