,Timestamp,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh",Date and Time,Global emissions,GUESS,MAX_CO2,MIN_CO2,GUESS_CO2,intensity
4268,1648166400,34.43215342628572,6.128146215,14.409559501349923,301.8322569348206,53.71932972069,126.31419858883343,2022-03-25,64.00483957582918,126.31419858883343,126.44051278742226,2.652598170365502,64.00483957582918,506.71136175412835
4269,1648252800,35.420204376,6.1629978521428574,14.553648996096314,310.493511560016,54.02483917188429,127.57728709978028,2022-03-26,64.64486087522705,127.57728709978028,127.70486438688005,2.679123029095386,64.64486087522705,506.71136175412835
4270,1648339200,35.334550692,6.029397072142857,14.29166498472829,309.742671366072,52.85369473440429,125.2807352561282,2022-03-27,63.48117196319115,125.2807352561282,125.40601599138431,2.630895440378692,63.48117196319115,506.71136175412835
4271,1648425600,36.55336969542857,6.064248709285714,14.49852016805116,320.4268387501269,53.159204185598576,127.09402779313646,2022-03-28,64.39998789387721,127.09402779313646,127.2211218209296,2.668974583655866,64.39998789387721,506.71136175412835
4272,1648512000,37.68718977257144,6.075864502857144,14.704378339706157,330.36590554636115,53.26102823204571,128.89858052586416,2022-03-29,65.3143752664348,128.89858052586416,129.02747910639002,2.7068701910431474,65.3143752664348,506.71136175412835
4273,1648598400,38.32476853028572,6.017777022142857,14.728095814572324,335.95492093648454,52.75183337610429,129.106487910541,2022-03-30,65.41972430044314,129.106487910541,129.23559439845155,2.711236246121361,65.41972430044314,506.71136175412835
4274,1648684800,39.320379012,6.015138036428572,14.804897798862186,344.682442419192,52.728700027332856,129.7797341048259,2022-03-31,65.76086579634503,129.7797341048259,129.90951383893074,2.725374416201344,65.76086579634503,506.71136175412835
4275,1648771200,39.296282933142855,5.961856063571429,14.705068100169878,344.47121619193024,52.26163025326714,128.90462696608913,2022-04-01,65.31743906639495,128.90462696608913,129.03353159305522,2.706997166287872,65.31743906639495,506.71136175412835
4276,1648857600,38.84427031542857,5.843233655714286,14.446666102101196,340.50887358504684,51.22178622599143,126.63947505101908,2022-04-02,64.16966085492984,126.63947505101908,126.7661145260701,2.6594289760714003,64.16966085492984,506.71136175412835
4277,1648944000,39.66027849942857,5.92306723,14.667015418373174,347.66200132599084,51.92160733818,128.57105715745925,2022-04-03,65.14841545442404,128.57105715745925,128.6996282146167,2.699992200306644,65.14841545442404,506.71136175412835
4278,1649030400,39.975199488,5.955186240000001,14.712750402111824,350.42259871180795,52.20316257984,128.97197002491222,2022-04-04,65.35156255943589,128.97197002491222,129.10094199493713,2.708411370523157,65.35156255943589,506.71136175412835
4279,1649116800,39.974885196,5.9551394192857146,14.621879186550771,350.41984362813594,52.20275214945857,128.1753929493041,2022-04-05,64.94792790471237,128.1753929493041,128.30356834225339,2.6916832519353857,64.94792790471237,506.71136175412835
4280,1649203200,40.801444584,6.078273641428572,14.841397337763734,357.665463223344,53.282146740762855,130.09968906283692,2022-04-06,65.92299060881876,130.09968906283692,130.22978875189975,2.732093470319575,65.92299060881876,506.71136175412835
4281,1649289600,40.846559772,6.084994542142858,14.857807845722524,358.06094296135194,53.34106215642429,130.24354357560367,2022-04-07,65.99588332487728,130.24354357560367,130.37378711917927,2.7351144150876774,65.99588332487728,506.71136175412835
4282,1649376000,40.562325516,6.042651590714286,14.75441852768956,355.569345473256,52.96988384420143,129.33723281372667,2022-04-08,65.53664536455418,129.33723281372667,129.4665700465404,2.7160818890882603,65.53664536455418,506.71136175412835
